'WongMRCATruncation.exists_unique_mrca' depends on axioms: [propext, Classical.choice, Quot.sound]
'WongMRCATruncation.mrca_unique' depends on axioms: [propext, Classical.choice, Quot.sound]
'WongMRCATruncation.common_iff_ancestor_mrca' depends on axioms: [propext, Classical.choice, Quot.sound]
'WongMRCATruncation.truncation_iff_cut_above' depends on axioms: [propext, Classical.choice, Quot.sound]
'WongMRCATruncation.truncation_iff_below_mrca' depends on axioms: [propext, Classical.choice, Quot.sound]
'WongMRCATruncation.sample_paths_preserved' depends on axioms: [propext, Classical.choice, Quot.sound]
'WongMRCATruncation.mrca_sample_paths_preserved' depends on axioms: [propext, Classical.choice, Quot.sound]
'WongMRCATruncation.mrca_reaches_every_sample' depends on axioms: [propext, Classical.choice, Quot.sound]
'WongMRCATruncation.no_incoming_mrca' depends on axioms: [propext, Classical.choice, Quot.sound]
'WongMRCATruncation.truncated_support' depends on axioms: [propext, Classical.choice, Quot.sound]
'WongMRCATruncation.no_common_no_extra_truncation' depends on axioms: [propext, Classical.choice, Quot.sound]
'WongMRCATruncation.ancestral_sample_is_mrca' depends on axioms: [propext, Classical.choice, Quot.sound]
'WongMRCATruncation.singleton_sample_is_mrca' depends on axioms: [propext, Classical.choice, Quot.sound]
'WongMRCATruncation.singleton_has_no_edges' depends on axioms: [propext, Classical.choice, Quot.sound]
'WongMRCATruncation.empty_samples_no_edges' depends on axioms: [propext, Classical.choice, Quot.sound]
'WongMRCATruncation.distinct_sample_roots_no_common' depends on axioms: [propext, Classical.choice, Quot.sound]
'WongMRCATruncation.truncate_at_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'WongMRCATruncation.truncate_unique_parent' depends on axioms: [propext, Classical.choice, Quot.sound]
'WongMRCATruncation.truncate_sample_supported' depends on axioms: [propext, Classical.choice, Quot.sound]
'WongMRCATruncation.truncate_breakpoints' depends on axioms: [propext, Classical.choice, Quot.sound]
'WongMRCATruncation.truncate_sample_paths' depends on axioms: [propext, Classical.choice, Quot.sound]
'WongMRCATruncation.truncate_mrca_paths' depends on axioms: [propext, Classical.choice, Quot.sound]
'WongMRCATruncation.finite_mrca_truncation' depends on axioms: [propext, Classical.choice, Quot.sound]
'WongMRCATruncation.supported_but_removed' depends on axioms: [propext, Classical.choice, Quot.sound]
